episode,score
0,0.3814999914728105
1,0.5474999877624214
2,0.7734999827109277
3,1.0834999757818877
4,1.0559999763965606
5,0.8039999820291996
6,0.25449999431148174
7,0.7539999831467867
8,0.4954999889247119
9,0.5659999873489141
10,0.7454999833367765
11,0.878999980352819
12,0.8444999811239541
13,1.0859999757260084
14,0.8939999800175429
15,1.1914999733678997
16,1.4764999669976533
17,1.7524999608285725
18,1.8219999592751264
19,2.0459999542683365
20,2.590999942086637
21,2.3829999467357994
22,2.7154999393038453
23,3.064499931503087
24,3.179499928932637
25,3.992499910760671
26,3.8644999136216938
27,4.1464999073185025
28,4.302999903820455
29,4.427499901037663
30,4.6649998957291245
31,5.192499883938581
32,5.570999875478447
33,5.854499869141728
34,5.312499881256372
35,5.877999868616461
36,7.000999843515456
37,7.103999841213226
38,6.828999847359955
39,7.534999831579626
40,8.494999810121953
41,9.217999793961644
42,8.739499804656953
43,8.409499812033028
44,9.063499797414988
45,9.86399977952242
46,10.501999765262008
47,11.142499750945717
48,11.938999733142555
49,12.474999721162021
50,12.180999727733433
51,12.955999710410833
52,13.81049969131127
53,15.336999657191337
54,14.682999671809375
55,14.27549968091771
56,16.650999627821147
57,16.4054996333085
58,18.83599957898259
59,20.065499551501127
60,18.433999587967993
61,19.246499569807202
62,20.41849954361096
63,20.483499542158096
64,21.33149952320382
65,24.294499456975608
66,24.8869994437322
67,25.056499439943583
68,25.818499422911554
69,25.80599942319095
70,26.75149940205738
71,26.749999402090907
72,27.402499387506396
73,28.60899936053902
74,29.722499335650355
75,28.40049936519936
76,29.77399933449924
77,31.47399929650128
78,31.929999286308885
79,33.37549925399944
80,34.15649923654273
81,32.591499271523205
82,33.61349924867973
83,34.06549923857674
84,34.965999218449
85,35.95299919638783
86,35.647499203216285
87,35.100999215431514
88,34.09799923785031
89,34.965499218460174
90,34.638499225769195
91,35.32849921034649
92,35.89499919768423
93,35.41449920842424
94,34.292499233502895
95,35.62349920375273
96,35.7389992011711
97,35.15799921415746
98,35.124499214906244
99,33.98199924044311
100,36.77999917790294
101,35.805999199673536
102,36.090499193314464
103,36.68299918007106
104,36.64999918080866
105,35.7389992011711
106,36.56949918260798
107,37.310999166034165
108,37.349999165162444
109,38.06249914923683
110,37.516499161440876
111,37.35449916506186
112,37.935999152064326
113,37.08599917106331
114,38.162499147001654
115,38.97649912880733
116,39.07149912668392
117,38.291499144118276
118,38.90299913045019
119,38.96149912914261
120,38.20549914604053
121,38.412999141402544
122,38.24999914504588
123,36.6714991803281
124,37.75749915605411
125,38.694499135110526
126,36.93949917433783
127,38.56099913809449
128,38.22249914566055
129,38.83099913205952
130,38.9364991297014
131,38.96849912898615
132,38.67549913553521
133,38.92949912985787
134,38.94999912939966
135,38.889499130751936
136,38.98449912862852
137,39.16899912450462
138,39.02199912779033
139,39.056499127019194
140,38.51949913902208
